Title: Multi-Element Abundance Measurements from Medium-Resolution
       Spectra. II. Catalog of Stars in Milky Way Dwarf Satellite
       Galaxies
Authors: Kirby, E. N., Guhathakurta, P., Simon, J. D., Geha, M. C., Rockosi,
         C. M., Sneden, C., Cohen, J. G., Sohn, S. T., Majewski, S. R., and
         Siegel, M.
Table: DEIMOS Multi-Element Abundances Catalog
================================================================================
Byte-by-byte Description of file: table_catalog.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     dSph    Dwarf spheroidal galaxy
  10- 11 I2     h       RAh     Hour of Right Ascension (J2000)
  13- 14 I2     min     RAm     Minute of Right Ascension (J2000)
  16- 20 F5.2   s       RAs     Second of Right Ascension (J2000)
      22 A1     ---     DE-     Sign of the Declination (J2000)
  23- 24 I2     deg     DEd     Degree of Declination (J2000)
  26- 27 I2     arcmin  DEm     Arcminute of Declination (J2000)
  29- 32 F4.1   arcsec  DEs     Arcsecond of Declination (J2000)
  34- 39 F6.3   mag     Bmag    B magnitude
  41- 45 F5.3   mag     e_Bmag  Uncertainty in Bmag
  47- 52 F6.3   mag     Vmag    V magnitude
  54- 58 F5.3   mag     e_Vmag  Uncertainty in Vmag
  60- 65 F6.3   mag     Rmag    R magnitude
  67- 71 F5.3   mag     e_Rmag  Uncertainty in Rmag
  73- 78 F6.3   mag     Imag    I magnitude
  80- 84 F5.3   mag     e_Imag  Uncertainty in Imag
  86- 89 I4     K       Teff    Effective temperature
  91- 93 I3     K   e_Teff,spec Uncertainty in Teff from spectral fitting
  95- 97 I3     K   e_Teff,phot Uncertainty in Teff from photometric error only
  99-102 F4.2   cm/s2   log(g)  Log of surface gravity
 104-107 F4.2   cm/s2  e_log(g) Uncertainty in log(g)
 109-112 F4.2   km/s    vt      Microturbulent velocity
 114-118 F5.2   dex     eps(Fe) Iron abundance
 120-123 F4.2   dex   e_eps(Fe) Uncertainty in eps(Fe)
 125-129 F5.2   dex     eps(Mg) Magnesium abundance
 131-134 F4.2   dex   e_eps(Mg) Uncertainty in eps(Mg)
 136-140 F5.2   dex     eps(Si) Silicon abundance
 142-145 F4.2   dex   e_eps(Si) Uncertainty in eps(Si)
 147-151 F5.2   dex     eps(Ca) Calcium abundance
 153-156 F4.2   dex   e_eps(Ca) Uncertainty in eps(Ca)
 158-162 F5.2   dex     eps(Ti) Titanium abundance
 164-167 F4.2   dex   e_eps(Ti) Uncertainty in eps(Ti)
 169-175 F7.2   km/s    vhelio  Heliocentric radial velocity
 177-181 F5.2   km/s  e_vhelio  Uncertainty in vhelio
 183-188 A6     ---     mask    Name of slitmask
--------------------------------------------------------------------------------
Scl      00 59 21.58 -33 42 57.9              19.492 0.076              18.585 0.048 5148  83 258 2.02 0.08 1.66 +5.26 0.15 +6.07 0.74 +5.73 0.36 +4.70 0.25 +2.98 0.51  118.08  2.33 scl1   1002473             
Scl      00 59 21.66 -33 41 01.6              18.084 0.035              17.015 0.027 4709  37 109 1.27 0.06 1.84 +5.50 0.10 +5.91 0.28 +5.91 0.13 +4.64 0.16 +3.20 0.13   97.76  2.12 scl1   1002447             
Scl      00 59 23.85 -33 42 59.1              19.419 0.077              18.411 0.048 4831  89 209 1.87 0.08 1.70 +5.55 0.12            +5.75 0.25 +4.84 0.21 +2.99 0.34  111.04  2.28 scl1   1002888             
Scl      00 59 26.87 -33 40 28.9              18.658 0.045              17.586 0.029 4695  33 125 1.49 0.06 1.79 +6.23 0.10 +5.73 0.52 +6.41 0.12 +5.17 0.16 +3.72 0.13  104.39  2.14 scl1   1003386             
Scl      00 59 27.13 -33 43 42.1              17.614 0.027              16.355 0.024 4391  24  71 0.88 0.06 1.93 +5.71 0.10 +5.98 0.19 +5.87 0.12 +4.74 0.13 +3.19 0.11  107.06  2.11 scl1   1003505             
Scl      00 59 27.34 -33 38 47.3              18.009 0.035              16.954 0.028 4435  67 110 1.26 0.06 1.84 +5.70 0.10 +6.53 0.27 +5.80 0.16 +4.60 0.15 +2.94 0.18  125.69  2.11 scl1   1003443             
Scl      00 59 27.69 -33 40 35.4              17.095 0.027              15.726 0.025 4279  17  58 0.58 0.07 2.01 +5.26 0.10 +5.73 0.20 +5.64 0.11 +4.42 0.13 +2.90 0.11  120.07  2.11 scl1   1003537             
Scl      00 59 28.30 -33 42 07.2              16.969 0.021              15.405 0.020 3920  10  58 0.32 0.09 2.07 +5.84 0.10 +6.02 0.16 +5.94 0.12 +4.73 0.13 +3.22 0.11  107.30  2.10 scl1   1003694             
Scl      00 59 28.72 -33 38 56.8              18.852 0.035              17.790 0.030 4604  49 111 1.58 0.06 1.77 +5.65 0.10            +5.97 0.16 +4.54 0.19 +3.24 0.14  117.54  2.16 scl1   1003702             
Scl      00 59 30.44 -33 36 04.9              17.876 0.026              16.732 0.021 4523  54  86 1.11 0.05 1.88 +4.84 0.11            +5.09 0.86 +4.27 0.21 +2.72 0.20  106.13  2.14 scl5   1003967             
Scl      00 59 30.57 -33 37 13.1              19.926 0.059              18.949 0.048 4785  91 182 2.11 0.07 1.64 +6.19 0.13            +6.11 0.43 +5.39 0.75 +3.91 0.33   96.79  3.66 scl5   1004020             
