Title: The Star Formation Histories of Local Group Dwarf Galaxies I. 
       Hubble Space Telescope / Wide Field Planetary Camera 2 Observations 
Authors: Weisz D.R., Dolphin A.E., Skillman E.D., Holtzman J., 
         Gilbert K.M., Dalcanton J.J., Williams B.F. 
Table: Star Formation Histories of each WFPC2 Field
================================================================================
Byte-by-byte Description of file: apj495810t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label     Explanations
--------------------------------------------------------------------------------
   1-  17 A17    ---         ID        Galaxy identifier
  19-  24 A6     ---         Field     Field identifier
  26-  31 F6.3   10+6solMass TMass     Total mass formed (1)
  33-  38 F6.3   10+6solMass UrTMass   Random uncertainty 84th percentile in TMass
  40-  45 F6.3   10+6solMass UtTMass   Total uncertainty 84th percentile in TMass
  47-  52 F6.3   10+6solMass LrTMass   Random uncertainty 16th percentile in TMass
  54-  59 F6.3   10+6solMass LtTMass   Total uncertainty 16th percentile in TMass
  61-  64 F4.2   [yr]        f10.1     Mass fraction formed prior to log(t) = 10.1
                                        from best fit SFH (2)
  66-  69 F4.2   [yr]        Urf10.1   Random uncertainty 84th percentile in f10.1
  71-  74 F4.2   [yr]        Utf10.1   Total uncertainty 84th percentile in f10.1
  76-  79 F4.2   [yr]        Lrf10.1   Random uncertainty 16th percentile in f10.1
  81-  84 F4.2   [yr]        Ltf10.1   Total uncertainty 16th percentile in f10.1
  86-  89 F4.2   [yr]        f10.05    Mass fraction formed prior to log(t) = 10.05
                                        from best fit SFH (2)
  91-  94 F4.2   [yr]        Urf10.05  Random uncertainty 84th percentile in f10.05
  96-  99 F4.2   [yr]        Utf10.05  Total uncertainty 84th percentile in f10.05
 101- 104 F4.2   [yr]        Lrf10.05  Random uncertainty 16th percentile in f10.05
 106- 109 F4.2   [yr]        Ltf10.05  Total uncertainty 16th percentile in f10.05
 111- 114 F4.2   [yr]        f10.0     Mass fraction formed prior to log(t) = 10.0
                                        from best fit SFH (2)
 116- 119 F4.2   [yr]        Urf10.0   Random uncertainty 84th percentile in f10.0
 121- 124 F4.2   [yr]        Utf10.0   Total uncertainty 84th percentile in f10.0
